,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic - Original Validation,0.8027210884353742,0.8023255813953488,0.8518518518518519,0.8263473053892215,0.9044145155256266
Random Forest - Original Validation,0.8503401360544217,0.8314606741573034,0.9135802469135802,0.8705882352941177,0.9098391320613542
Logistic - Engineered Validation,0.8027210884353742,0.8095238095238095,0.8395061728395061,0.8242424242424242,0.9017957351290684
Random Forest - Engineered Validation,0.8435374149659864,0.8295454545454546,0.9012345679012346,0.863905325443787,0.9089973812196035
Final Model - Test,0.9021739130434783,0.8962264150943396,0.9313725490196079,0.9134615384615384,0.9424318507890961
